question,category
주문한 상품을 환불받고 싶어요,환불/교환
환불 신청은 어떻게 하나요,환불/교환
교환 요청하고 싶습니다,환불/교환
반품 절차가 어떻게 되나요,환불/교환
환불 처리 기간이 얼마나 걸리나요,환불/교환
부분 환불도 가능한가요,환불/교환
배송이 언제 오나요,배송
배송 조회는 어디서 하나요,배송
배송이 너무 늦어요,배송
오늘 주문하면 언제 도착하나요,배송
배송지 변경할 수 있나요,배송
해외 배송도 되나요,배송
비밀번호를 잊어버렸어요,계정
회원 탈퇴하고 싶어요,계정
아이디 찾는 방법 알려주세요,계정
소셜 로그인 연동하고 싶어요,계정
계정 정보 변경하는 방법이 뭔가요,계정
결제가 안 돼요,결제
어떤 카드로 결제할 수 있나요,결제
할부 결제 가능한가요,결제
결제 취소 방법 알려주세요,결제
영수증 발급 받고 싶어요,결제
이 상품 사이즈 어떻게 되나요,상품문의
재입고 예정이 있나요,상품문의
상품 색상이 실제와 다른 것 같아요,상품문의
이 상품 다른 색상도 있나요,상품문의
앱이 계속 튕겨요,기술지원
로그인이 안 됩니다,기술지원
앱 업데이트 후 오류가 생겼어요,기술지원
알림이 오지 않아요,기술지원
